station_name,metro_line,hour_of_day,day_of_week,month,is_weekend,is_holiday,temperature_c,is_raining,nearby_it_park,train_frequency_min,is_peak_hour,time_category,is_off_day,passenger_count,footfall_category,station_type,delay_minutes,wifi_available,date,fare_inr
Dasarahalli,Green,20.0,Friday,June,No,No,32.6,No,No,8.0,No,Night,No,993.0,Medium,Regular,0.0,No,2024-06-01,10.0
National College,Green,13.0,Sunday,May,Yes,No,26.1,No,No,,No,Midday,Yes,1271.0,Medium,Regular,5.0,No,2025-05-01,
Yeshwanthpur,Green,,Tuesday,December,No,No,23.4,No,Yes,5.0,No,Midday,No,1254.0,Medium,Regular,2.0,Yes,2023-12-19,20.0
RV Road,Yellow,20.0,Monday,September,No,No,24.8,No,No,8.0,No,Night,No,886.0,Medium,Interchange,0.0,No,2024-09-05,
Jalahalli,Green,20.0,Sunday,June,Yes,No,23.2,Yes,No,8.0,No,Night,Yes,450.0,Low,Regular,0.0,No,2024-06-13,15.0
Magadi Road,Purple,9.0,Thursday,October,No,No,,No,No,3.0,Yes,Morning,No,3831.0,High,Regular,0.0,No,2025-10-19,20.0
Electronic City,Yellow,18.0,Wednesday,December,No,No,29.2,No,Yes,3.0,Yes,Evening,No,5325.0,High,Regular,0.0,No,2025-12-12,20.0
Halasuru,Purple,13.0,Tuesday,May,No,No,22.5,No,No,5.0,No,,,1887.0,Medium,Regular,2.0,Yes,2023-05-16,20.0
Hebbagodi,Yellow,13.0,Friday,December,No,No,25.4,,Yes,5.0,No,Midday,No,2142.0,High,Regular,0.0,No,2024-12-25,20.0
Electronic City,Yellow,13.0,Tuesday,February,No,No,23.0,No,Yes,5.0,,Midday,No,1803.0,Medium,Regular,2.0,No,2023-02-25,20.0
Bommasandra,Yellow,17.0,Saturday,September,,No,27.5,,Yes,3.0,Yes,Evening,,3755.0,High,Terminal,0.0,No,2024-09-19,50.0
Chickpete,Green,6.0,Monday,October,No,No,,No,No,8.0,No,Morning,No,1456.0,Medium,Regular,5.0,No,2023-10-03,20.0
